Token,Language
afrontar,Spn
afuera,Spn
afueras,Spn
agarrar,Spn
agencia,Spn
agente,Spn
ágil,Spn
agitación,Spn
agitado,Spn
agitar,Spn
agonía,Spn
agosto,Spn
agotado,Spn
agotar,Spn
agradable,Spn
agradar,Spn
agradecer,Spn
agradecido,Spn
agradecimiento,Spn
agrario,Spn
agravar,Spn
agregar,Spn
agresión,Spn
agresividad,Spn
agresivo,Spn
agrícola,Spn
agricultor,Spn
agricultura,Spn
agrupar,Spn
agua,Spn
aguantar,Spn
aguardar,Spn
agudo,Spn
aguja,Spn
agujero,Spn
ah,Spn
ahí,Spn
ahogar,Spn
ahora,Spn
ahorrar,Spn
ahorro,Spn
aire,Spn
aislado,Spn
aislamiento,Spn
aislar,Spn
ajeno,Spn
ajustar,Spn
ajuste,Spn
ala,Spn
alambre,Spn
alargar,Spn
alarma,Spn
alarmante,Spn
alarmar,Spn
albergar,Spn
alcalde,Spn
alcance,Spn
alcanzar,Spn
alcohol,Spn
aldea,Spn
alegar,Spn
alegrar,Spn
alegre,Spn
alegría,Spn
alejado,Spn
alejar,Spn
alemán,Spn
alentar,Spn
alerta,Spn
alertar,Spn
alfombra,Spn
algo,Spn
algodón,Spn
alguien,Spn
alguno,Spn
aliado,Spn
alianza,Spn
aliento,Spn
alimentación,Spn
alimentar,Spn
alimento,Spn
aliviar,Spn
alivio,Spn
allá,Spn
allí,Spn
alma,Spn
almacén,Spn
almohada,Spn
almorzar,Spn
almuerzo,Spn
alojar,Spn
alquilar,Spn
alquiler,Spn
alrededor,Spn
altamente,Spn
altar,Spn
alteración,Spn
alterar,Spn
alternar,Spn
alternativa,Spn
alternativo,Spn
altísimo,Spn
alto,Spn
altura,Spn
aludir,Spn
alumbrar,Spn
alumno,Spn
alusión,Spn
alzar,Spn
ama,Spn
amable,Spn
amanecer,Spn
amante,Spn
amar,Spn
amargo,Spn
amargura,Spn
amarillo,Spn
ambición,Spn
ambicioso,Spn
ambiente,Spn
ambiguo,Spn
ámbito,Spn
ambos,Spn
ambulante,Spn
amenaza,Spn
amenazado,Spn
amenazar,Spn
americano,Spn
amiga,Spn
amigo,Spn
amistad,Spn
amistoso,Spn
amo,Spn
amor,Spn
amoroso,Spn
amparo,Spn
ampliación,Spn
ampliamente,Spn
ampliar,Spn
amplio,Spn
amplitud,Spn
añadir,Spn
análisis,Spn
analizar,Spn
ancho,Spn
anciano,Spn
andaluz,Spn
andar,Spn
anécdota,Spn
ángel,Spn
ángulo,Spn
angustia,Spn
angustiado,Spn
angustioso,Spn
anhelo,Spn
anillo,Spn
animado,Spn
animal,Spn
animar,Spn
ánimo,Spn
aniversario,Spn
año,Spn
anoche,Spn
anónimo,Spn
anotar,Spn
ansia,Spn
ansiedad,Spn
ansioso,Spn
antaño,Spn
ante,Spn
antecedente,Spn
antemano,Spn
antena,Spn
antepasado,Spn
anterior,Spn
anteriormente,Spn
antes,Spn
anticipar,Spn
antigüedad,Spn
antiguo,Spn
anual,Spn
anular,Spn
anunciar,Spn
anuncio,Spn
apagado,Spn
apagar,Spn
aparato,Spn
aparecer,Spn
aparentar,Spn
aparente,Spn
aparentemente,Spn
aparición,Spn
apariencia,Spn
apartar,Spn
aparte,Spn
apasionado,Spn
apelar,Spn
apellido,Spn
apenas,Spn
apertura,Spn
apetito,Spn
aplastado,Spn
aplastar,Spn
aplaudir,Spn
aplauso,Spn
aplicación,Spn
aplicado,Spn
aplicar,Spn
apoderar,Spn
aportar,Spn
aporte,Spn
apostar,Spn
apoyar,Spn
apoyo,Spn
apreciación,Spn
apreciar,Spn
aprender,Spn
aprendizaje,Spn
apresurar,Spn
apretado,Spn
apretar,Spn
aprobación,Spn
aprobar,Spn
apropiado,Spn
aprovechar,Spn
aproximación,Spn
aproximadamente,Spn
aproximar,Spn
apto,Spn
apuesta,Spn
apuntar,Spn
apunte,Spn
apurar,Spn
apuro,Spn
aquel,Spn
aquél,Spn
aquello,Spn
aquí,Spn
árabe,Spn
araña,Spn
arbitrario,Spn
árbol,Spn
archivo,Spn
arco,Spn
arder,Spn
ardiente,Spn
área,Spn
arena,Spn
argentino,Spn
argumentar,Spn
argumento,Spn
árido,Spn
arma,Spn
armado,Spn
armar,Spn
armonía,Spn
aroma,Spn
arquitecto,Spn
arquitectura,Spn
arrancar,Spn
arranque,Spn
arrasar,Spn
arrastrar,Spn
arrebatar,Spn
arreglar,Spn
arreglo,Spn
arrepentir,Spn
arriba,Spn
arriesgar,Spn
arrojar,Spn
arroyo,Spn
arroz,Spn
arte,Spn
artefacto,Spn
articular,Spn
artículo,Spn
artificial,Spn
artista,Spn
artístico,Spn
asaltar,Spn
asalto,Spn
asamblea,Spn
ascender,Spn
ascenso,Spn
ascensor,Spn
asco,Spn
asegurar,Spn
asentar,Spn
asentir,Spn
asesinar,Spn
asesinato,Spn
asesino,Spn
asesor,Spn
así,Spn
asiento,Spn
asignar,Spn
asilo,Spn
asimilar,Spn
asimismo,Spn
asistencia,Spn
asistente,Spn
asistir,Spn
asociación,Spn
asociar,Spn
asomar,Spn
asombrado,Spn
asombrar,Spn
asombro,Spn
asombroso,Spn
aspecto,Spn
áspero,Spn
aspiración,Spn
aspirar,Spn
astro,Spn
asumir,Spn
asunto,Spn
asustado,Spn
asustar,Spn
atacar,Spn
ataque,Spn
atar,Spn
atardecer,Spn
atención,Spn
atender,Spn
atener,Spn
atentado,Spn
atento,Spn
atmósfera,Spn
atracción,Spn
atractivo,Spn
atraer,Spn
atrapado,Spn
atrapar,Spn
atrás,Spn
atrasado,Spn
atravesar,Spn
atrever,Spn
atribuir,Spn
atributo,Spn
atroz,Spn
audacia,Spn
audaz,Spn
audiencia,Spn
aula,Spn
aumentar,Spn
aumento,Spn
aun,Spn
aún,Spn
aunque,Spn
ausencia,Spn
ausente,Spn
auténtico,Spn
auto,Spn
autobús,Spn
automáticamente,Spn
automático,Spn
automóvil,Spn
autonomía,Spn
autónomo,Spn
autopista,Spn
autor,Spn
autoridad,Spn
autoritario,Spn
autorización,Spn
autorizado,Spn
autorizar,Spn
auxiliar,Spn
auxilio,Spn
avance,Spn
avanzado,Spn
avanzar,Spn
ave,Spn
avenida,Spn
aventura,Spn
aventurar,Spn
averiguar,Spn
avión,Spn
avisar,Spn
aviso,Spn
ay,Spn
ayer,Spn
ayuda,Spn
ayudante,Spn
ayudar,Spn
azar,Spn
azúcar,Spn
azul,Spn
bachillerato,Spn
bahía,Spn
bailar,Spn
bailarín,Spn
baile,Spn
bajar,Spn
bajo,Spn
bala,Spn
balance,Spn
balanza,Spn
balcón,Spn
bañar,Spn
bancario,Spn
banco,Spn
banda,Spn
bandeja,Spn
bandera,Spn
bando,Spn
baño,Spn
banquete,Spn
bar,Spn
barato,Spn
barba,Spn
barbaridad,Spn
bárbaro,Spn
barco,Spn
barra,Spn
barrer,Spn
barrera,Spn
barrio,Spn
barro,Spn
basar,Spn
base,Spn
básicamente,Spn
básico,Spn
bastante,Spn
bastar,Spn
bastón,Spn
basura,Spn
batalla,Spn
batería,Spn
batir,Spn
bautizar,Spn
bebé,Spn
beber,Spn
bebida,Spn
beca,Spn
bélico,Spn
belleza,Spn
bello,Spn
bendito,Spn
beneficiar,Spn
beneficio,Spn
besar,Spn
beso,Spn
bestia,Spn
bíblico,Spn
biblioteca,Spn
bicho,Spn
bicicleta,Spn
bien,Spn
bienestar,Spn
bigote,Spn
billete,Spn
biografía,Spn
biológico,Spn
blanco,Spn
blando,Spn
bloque,Spn
boca,Spn
boda,Spn
bodega,Spn
bola,Spn
bolsa,Spn
bolsillo,Spn
bomba,Spn
bondad,Spn
bonito,Spn
borde,Spn
bordear,Spn
bordo,Spn
borrar,Spn
bosque,Spn
bota,Spn
bote,Spn
botella,Spn
botón,Spn
brasileño,Spn
bravo,Spn
brazo,Spn
breve,Spn
brevemente,Spn
brillante,Spn
brillar,Spn
brillo,Spn
brindar,Spn
británico,Spn
broma,Spn
bronce,Spn
brotar,Spn
bruja,Spn
bruscamente,Spn
brusco,Spn
brutal,Spn
bruto,Spn
bueno,Spn
buey,Spn
bulto,Spn
buque,Spn
burla,Spn
burlar,Spn
burro,Spn
busca,Spn
buscar,Spn
búsqueda,Spn
caballería,Spn
caballero,Spn
caballo,Spn
cabecera,Spn
cabello,Spn
caber,Spn
cabeza,Spn
cabina,Spn
cable,Spn
cabo,Spn
cabra,Spn
cada,Spn
cadáver,Spn
cadena,Spn
cadera,Spn
caer,Spn
café,Spn
caída,Spn
caído,Spn
caja,Spn
cajón,Spn
cal,Spn
calcular,Spn
cálculo,Spn
caldo,Spn
calendario,Spn
calentar,Spn
calidad,Spn
cálido,Spn
caliente,Spn
calificación,Spn
calificar,Spn
callado,Spn
callar,Spn
calle,Spn
callejero,Spn
calma,Spn
calmar,Spn
calor,Spn
calzar,Spn
cama,Spn
cámara,Spn
cambiar,Spn
cambio,Spn
caminar,Spn
camino,Spn
camión,Spn
camisa,Spn
camiseta,Spn
campamento,Spn
campana,Spn
campaña,Spn
campeón,Spn
campesino,Spn
campo,Spn
caña,Spn
canal,Spn
cáncer,Spn
cancha,Spn
canción,Spn
candidato,Spn
cañón,Spn
cansado,Spn
cansancio,Spn
cansar,Spn
cantante,Spn
cantar,Spn
cantidad,Spn
canto,Spn
caos,Spn
capa,Spn
capacidad,Spn
capaz,Spn
capilla,Spn
capital,Spn
capitán,Spn
capítulo,Spn
capricho,Spn
caprichoso,Spn
captar,Spn
capturar,Spn
cara,Spn
carácter,Spn
característica,Spn
característico,Spn
caracterizar,Spn
caramelo,Spn
carbón,Spn
carcajada,Spn
cárcel,Spn
carecer,Spn
carencia,Spn
carente,Spn
carga,Spn
cargar,Spn
cargo,Spn
caridad,Spn
cariño,Spn
cariñoso,Spn
carne,Spn
caro,Spn
carrera,Spn
carretera,Spn
carro,Spn
carta,Spn
cartel,Spn
cartera,Spn
cartón,Spn
casa,Spn
casado,Spn
casar,Spn
casco,Spn
casero,Spn
casi,Spn
casita,Spn
caso,Spn
castellano,Spn
castigar,Spn
castigo,Spn
castillo,Spn
casualidad,Spn
catalán,Spn
catálogo,Spn
catástrofe,Spn
cátedra,Spn
catedral,Spn
categoría,Spn
católico,Spn
catorce,Spn
cauce,Spn
caudal,Spn
causa,Spn
causar,Spn
cautela,Spn
caza,Spn
cazador,Spn
cazar,Spn
ceder,Spn
ceja,Spn
celebración,Spn
celebrar,Spn
célebre,Spn
celeste,Spn
celo,Spn
celoso,Spn
célula,Spn
cementerio,Spn
cemento,Spn
cena,Spn
cenar,Spn
ceñir,Spn
ceniza,Spn
censura,Spn
centavo,Spn
centenar,Spn
centímetro,Spn
central,Spn
centrar,Spn
centro,Spn
cera,Spn
cerca,Spn
cercanía,Spn
cercano,Spn
cerco,Spn
cerdo,Spn
cerebral,Spn
cerebro,Spn
ceremonia,Spn
cero,Spn
cerrado,Spn
cerrar,Spn
cerro,Spn
certeza,Spn
cerveza,Spn
cesar,Spn
chaqueta,Spn
charla,Spn
charlar,Spn
chica,Spn
chico,Spn
chileno,Spn
chimenea,Spn
chino,Spn
chiquillo,Spn
chispa,Spn
chiste,Spn
chocar,Spn
chocolate,Spn
choque,Spn
chorro,Spn
chupar,Spn
ciclo,Spn
ciego,Spn
cielo,Spn
ciencia,Spn
científico,Spn
ciento,Spn
cierre,Spn
ciertamente,Spn
cierto,Spn
cifra,Spn
cigarrillo,Spn
cima,Spn
cinco,Spn
cincuenta,Spn
cine,Spn
cinta,Spn
cintura,Spn
cinturón,Spn
circo,Spn
circuito,Spn
circulación,Spn
circular,Spn
círculo,Spn
circunstancia,Spn
cirujano,Spn
cita,Spn
citar,Spn
ciudad,Spn
ciudadano,Spn
civil,Spn
civilización,Spn
civilizado,Spn
clandestino,Spn
claramente,Spn
claridad,Spn
claro,Spn
clase,Spn
clásico,Spn
clasificación,Spn
clasificar,Spn
clavar,Spn
clave,Spn
clavo,Spn
cliente,Spn
clientela,Spn
clima,Spn
clínica,Spn
clínico,Spn
club,Spn
cobrar,Spn
cobre,Spn
coche,Spn
cocina,Spn
cocinar,Spn
cocinero,Spn
coco,Spn
código,Spn
codo,Spn
coger,Spn
coherente,Spn
cohete,Spn
coincidencia,Spn
coincidir,Spn
cola,Spn
colaboración,Spn
colaborador,Spn
colaborar,Spn
colar,Spn
colchón,Spn
colección,Spn
colectivo,Spn
colega,Spn
colegio,Spn
cólera,Spn
colgado,Spn
colgar,Spn
colina,Spn
collar,Spn
colmo,Spn
colocar,Spn
colombiano,Spn
colonia,Spn
colonial,Spn
color,Spn
colorado,Spn
columna,Spn
coma,Spn
comandante,Spn
comando,Spn
combate,Spn
combatir,Spn
combinación,Spn
combinado,Spn
combinar,Spn
comedia,Spn
comedor,Spn
comentar,Spn
comentario,Spn
comenzar,Spn
comer,Spn
comercial,Spn
comerciante,Spn
comercio,Spn
cometa,Spn
cometer,Spn
cómico,Spn
comida,Spn
comienzo,Spn
comisario,Spn
comisión,Spn
como,Spn
cómo,Spn
comodidad,Spn
cómodo,Spn
compacto,Spn
compañera,Spn
compañero,Spn
compañía,Spn
comparable,Spn
comparación,Spn
comparar,Spn
compartir,Spn
compás,Spn
compatriota,Spn
compensación,Spn
compensar,Spn
competencia,Spn
competir,Spn
complacer,Spn
complejidad,Spn
complejo,Spn
complementar,Spn
complementario,Spn
complemento,Spn
completamente,Spn
completar,Spn
completo,Spn
complicación,Spn
complicado,Spn
complicar,Spn
cómplice,Spn
complicidad,Spn
componente,Spn
componer,Spn
comportamiento,Spn
comportar,Spn
composición,Spn
compra,Spn
comprador,Spn
comprar,Spn
comprender,Spn
compresible,Spn
comprensión,Spn
comprensivo,Spn
comprobar,Spn
comprometer,Spn
comprometido,Spn
compromiso,Spn
compuesto,Spn
computadora,Spn
común,Spn
comunicación,Spn
comunicar,Spn
comunidad,Spn
comunión,Spn
comunismo,Spn
comunista,Spn
comunitario,Spn
con,Spn
concebir,Spn
conceder,Spn
concentración,Spn
concentrar,Spn
concepción,Spn
concepto,Spn
concesión,Spn
conciencia,Spn
concierto,Spn
concluir,Spn
conclusión,Spn
concretamente,Spn
concretar,Spn
concreto,Spn
concurrencia,Spn
concurrir,Spn
concurso,Spn
condena,Spn
condenar,Spn
condición,Spn
condicionado,Spn
condicionar,Spn
conducir,Spn
conducta,Spn
conductor,Spn
conectar,Spn
conejo,Spn
conexión,Spn
conferencia,Spn
conferir,Spn
confesar,Spn
confesión,Spn
confianza,Spn
confiar,Spn
configurar,Spn
confirmar,Spn
conflicto,Spn
conformar,Spn
conforme,Spn
confundido,Spn
confundir,Spn
confusión,Spn
confuso,Spn
congelado,Spn
congreso,Spn
conjunto,Spn
conmigo,Spn
conmover,Spn
conocedor,Spn
conocer,Spn
conocido,Spn
conocimiento,Spn
conquista,Spn
conquistar,Spn
consagrado,Spn
consagrar,Spn
consciente,Spn
consecuencia,Spn
conseguir,Spn
consejero,Spn
consejo,Spn
consentir,Spn
conservación,Spn
conservador,Spn
conservar,Spn
considerable,Spn
consideración,Spn
considerar,Spn
consigna,Spn
consiguiente,Spn
consistencia,Spn
consistir,Spn
consolar,Spn
consolidar,Spn
conspiración,Spn
constancia,Spn
constante,Spn
constantemente,Spn
constar,Spn
constatar,Spn
constitución,Spn
constitucional,Spn
constituir,Spn
construcción,Spn
constructivo,Spn
construir,Spn
consuelo,Spn
consulta,Spn
consultar,Spn
consumar,Spn
consumir,Spn
consumo,Spn
contacto,Spn
contagiar,Spn
contar,Spn
contemplar,Spn
contemporáneo,Spn
contener,Spn
contenido,Spn
contento,Spn
contestación,Spn
contestar,Spn
contexto,Spn
contienda,Spn
contigo,Spn
continente,Spn
continuación,Spn
continuamente,Spn
continuar,Spn
continuidad,Spn
continuo,Spn
contorno,Spn
contra,Spn
contradecir,Spn
contradicción,Spn
contradictorio,Spn
contraer,Spn
contrario,Spn
contrastar,Spn
contraste,Spn
contratar,Spn
contrato,Spn
contribución,Spn
contribuir,Spn
control,Spn
controlar,Spn
contundente,Spn
convencer,Spn
convencido,Spn
convencimiento,Spn
convención,Spn
convencional,Spn
conveniencia,Spn
conveniente,Spn
convenir,Spn
convento,Spn
conversación,Spn
conversar,Spn
convertir,Spn
convicción,Spn
convincente,Spn
convivencia,Spn
convivir,Spn
convocar,Spn
cooperación,Spn
copa,Spn
copia,Spn
copiar,Spn
coraje,Spn
corazón,Spn
corbata,Spn
cordial,Spn
cordillera,Spn
cordón,Spn
coro,Spn
corona,Spn
coronar,Spn
coronel,Spn
corporal,Spn
corral,Spn
corrección,Spn
correctamente,Spn
correcto,Spn
corredor,Spn
corregir,Spn
correo,Spn
correr,Spn
correspondencia,Spn
corresponder,Spn
correspondiente,Spn
corriente,Spn
corrupción,Spn
cortar,Spn
corte,Spn
cortesía,Spn
corteza,Spn
cortina,Spn
corto,Spn
cosa,Spn
cosecha,Spn
coser,Spn
costa,Spn
costado,Spn
costar,Spn
costo,Spn
costoso,Spn
costumbre,Spn
cotidiano,Spn
cráneo,Spn
creación,Spn
creador,Spn
crear,Spn
creativo,Spn
crecer,Spn
creciente,Spn
crecimiento,Spn
crédito,Spn
creencia,Spn
creer,Spn
crema,Spn
cría,Spn
criar,Spn
criatura,Spn
crimen,Spn
criminal,Spn
crisis,Spn
cristal,Spn
cristiano,Spn
criterio,Spn
crítica,Spn
criticar,Spn
crítico,Spn
crónica,Spn
crónico,Spn
cruce,Spn
crudo,Spn
cruel,Spn
crueldad,Spn
cruz,Spn
cruzar,Spn
cuaderno,Spn
cuadra,Spn
cuadrado,Spn
cuadro,Spn
cual,Spn
cuál,Spn
cualidad,Spn
cualquier,Spn
cuando,Spn
cuándo,Spn
cuanto,Spn
cuánto,Spn
cuarenta,Spn
cuartel,Spn
cuarto,Spn
cuatro,Spn
cubano,Spn
cubierta,Spn
cubierto,Spn
cubrir,Spn
cuchillo,Spn
cuello,Spn
cuenca,Spn
cuenta,Spn
cuento,Spn
cuerda,Spn
cuerno,Spn
cuero,Spn
cuerpo,Spn
cuestión,Spn
cuestionar,Spn
cueva,Spn
cuidado,Spn
cuidadosamente,Spn
cuidadoso,Spn
cuidar,Spn
culminar,Spn
culpa,Spn
culpable,Spn
cultivar,Spn
cultivo,Spn
culto,Spn
cultura,Spn
cultural,Spn
cumbre,Spn
cumpleaños,Spn
cumplimiento,Spn
cumplir,Spn
cuna,Spn
cuota,Spn
cúpula,Spn
cura,Spn
curar,Spn
curiosamente,Spn
curiosidad,Spn
curioso,Spn
curso,Spn
curva,Spn
cuyo,Spn
dado,Spn
dama,Spn
dañar,Spn
daño,Spn
danza,Spn
dar,Spn
dato,Spn
de,Spn
debajo,Spn
debate,Spn
debatir,Spn
deber,Spn
debidamente,Spn
debido,Spn
débil,Spn
debilidad,Spn
debilitar,Spn
década,Spn
decadencia,Spn
decaer,Spn
decena,Spn
decente,Spn
decepción,Spn
decididamente,Spn
decidido,Spn
decidir,Spn
décimo,Spn
decir,Spn
decisión,Spn
decisivo,Spn
declaración,Spn
declarar,Spn
decoración,Spn
decreto,Spn
dedicación,Spn
dedicar,Spn
dedo,Spn
deducir,Spn
defecto,Spn
defender,Spn
defensa,Spn
defensivo,Spn
defensor,Spn
definición,Spn
definido,Spn
definir,Spn
definitivamente,Spn
definitivo,Spn
dejar,Spn
delante,Spn
delgado,Spn
delicadeza,Spn
delicado,Spn
delicioso,Spn
delincuente,Spn
delirio,Spn
delito,Spn
demanda,Spn
demandar,Spn
demás,Spn
demasiado,Spn
democracia,Spn
democrático,Spn
demonio,Spn
demorar,Spn
demostración,Spn
demostrar,Spn
denominación,Spn
denominar,Spn
densidad,Spn
denso,Spn
dentro,Spn
denuncia,Spn
denunciar,Spn
departamento,Spn
dependencia,Spn
depender,Spn
deporte,Spn
deportivo,Spn
depositar,Spn
depósito,Spn
depresión,Spn
derecha,Spn
derecho,Spn
derivar,Spn
derramar,Spn
derribar,Spn
derrota,Spn
derrotar,Spn
derrumbar,Spn
desacuerdo,Spn
desafiar,Spn
desafío,Spn
desagradable,Spn
desaparecer,Spn
desaparecido,Spn
desaparición,Spn
desarrollado,Spn
desarrollar,Spn
desarrollo,Spn
desastre,Spn
desatar,Spn
desayunar,Spn
desayuno,Spn
desbordar,Spn
descalzo,Spn
descansar,Spn
descanso,Spn
descarga,Spn
descargar,Spn
descartar,Spn
descender,Spn
descendiente,Spn
descenso,Spn
descifrar,Spn
descomponer,Spn
desconcertado,Spn
desconcierto,Spn
desconfianza,Spn
desconocer,Spn
desconocido,Spn
describir,Spn
descripción,Spn
descubrimiento,Spn
descubrir,Spn
descuidar,Spn
descuido,Spn
desde,Spn
deseable,Spn
desear,Spn
desechar,Spn
desembocar,Spn
desempeñar,Spn
desencadenar,Spn
desenlace,Spn
desenvolver,Spn
deseo,Spn
desequilibrio,Spn
desesperación,Spn
desesperado,Spn
desesperar,Spn
desfilar,Spn
desfile,Spn
desgracia,Spn
desgraciadamente,Spn
deshacer,Spn
desierto,Spn
designar,Spn
desigual,Spn
desilusión,Spn
deslizar,Spn
desmentir,Spn
desnudo,Spn
desorden,Spn
desordenado,Spn
despacho,Spn
despacio,Spn
despedida,Spn
despedir,Spn
despejar,Spn
desperdicio,Spn
despertar,Spn
despierto,Spn
desplazamiento,Spn
desplazar,Spn
desplegar,Spn
despliegue,Spn
despojar,Spn
despreciar,Spn
desprecio,Spn
desprender,Spn
después,Spn
destacado,Spn
destacar,Spn
destinar,Spn
destino,Spn
destreza,Spn
destrozar,Spn
destrucción,Spn
destruido,Spn
destruir,Spn
desviar,Spn
detallado,Spn
detalle,Spn
detectar,Spn
detención,Spn
detener,Spn
deteriorar,Spn
deterioro,Spn
determinación,Spn
determinado,Spn
determinar,Spn
detrás,Spn
deuda,Spn
devoción,Spn
devolver,Spn
devorar,Spn
día,Spn
diablo,Spn
diagnóstico,Spn
dialogar,Spn
diálogo,Spn
diamante,Spn
diariamente,Spn
diario,Spn
dibujar,Spn
dibujo,Spn
diccionario,Spn
dicha,Spn
dicho,Spn
dichoso,Spn
diciembre,Spn
dictador,Spn
dictadura,Spn
dictar,Spn
dieciocho,Spn
dieciséis,Spn
diecisiete,Spn
diente,Spn
dieta,Spn
diez,Spn
diferencia,Spn
diferenciar,Spn
diferente,Spn
difícil,Spn
difícilmente,Spn
dificultad,Spn
difundir,Spn
difusión,Spn
dignidad,Spn
digno,Spn
diligencia,Spn
diluir,Spn
dimensión,Spn
diminuto,Spn
dinámica,Spn
dinámico,Spn
dinero,Spn
dios,Spn
diplomático,Spn
diputado,Spn
dirección,Spn
directamente,Spn
directo,Spn
director,Spn
dirigente,Spn
dirigir,Spn
disciplina,Spn
discípulo,Spn
disco,Spn
discreto,Spn
disculpa,Spn
disculpar,Spn
discurrir,Spn
discurso,Spn
discusión,Spn
discutir,Spn
diseñar,Spn
diseño,Spn
disfrazado,Spn
disfrazar,Spn
disfrutar,Spn
disgusto,Spn
disimular,Spn
disipar,Spn
disminuir,Spn
disolver,Spn
disparar,Spn
disparate,Spn
disparo,Spn
dispersar,Spn
disperso,Spn
disponer,Spn
disponible,Spn
disposición,Spn
dispuesto,Spn
disputa,Spn
disputar,Spn
distancia,Spn
distante,Spn
distinción,Spn
distinguido,Spn
distinguir,Spn
distinto,Spn
distracción,Spn
distraer,Spn
distribución,Spn
distribuir,Spn
diversidad,Spn
diversión,Spn
diverso,Spn
divertido,Spn
divertir,Spn
dividir,Spn
divino,Spn
división,Spn
divorcio,Spn
doblar,Spn
doble,Spn
doce,Spn
docena,Spn
doctor,Spn
doctrina,Spn
documentación,Spn
documento,Spn
dólar,Spn
doler,Spn
dolor,Spn
doloroso,Spn
doméstico,Spn
domicilio,Spn
dominante,Spn
dominar,Spn
domingo,Spn
dominio,Spn
don,Spn
doña,Spn
donde,Spn
dónde,Spn
dorado,Spn
dormido,Spn
dormir,Spn
dormitorio,Spn
dos,Spn
doscientos,Spn
dosis,Spn
dotado,Spn
dotar,Spn
drama,Spn
dramático,Spn
droga,Spn
duda,Spn
dudar,Spn
dudoso,Spn
duelo,Spn
dueña,Spn
dueño,Spn
dulce,Spn
duración,Spn
duramente,Spn
durante,Spn
durar,Spn
dureza,Spn
duro,Spn
echar,Spn
eclesiástico,Spn
eco,Spn
economía,Spn
económicamente,Spn
económico,Spn
economista,Spn
edad,Spn
edición,Spn
edificación,Spn
edificio,Spn
editar,Spn
editor,Spn
editorial,Spn
educación,Spn
educado,Spn
educar,Spn
educativo,Spn
efectivamente,Spn
efectivo,Spn
efecto,Spn
efectuar,Spn
eficacia,Spn
eficaz,Spn
eficiencia,Spn
eficiente,Spn
efímero,Spn
egoísmo,Spn
egoísta,Spn
eh,Spn
eje,Spn
ejecución,Spn
ejecutar,Spn
ejecutivo,Spn
ejemplar,Spn
ejemplo,Spn
ejercer,Spn
ejercicio,Spn
ejército,Spn
el,Spn
él,Spn
elaboración,Spn
elaborar,Spn
elección,Spn
electoral,Spn
electricidad,Spn
eléctrico,Spn
electrónico,Spn
elefante,Spn
elegancia,Spn
elegante,Spn
elegir,Spn
elemental,Spn
elemento,Spn
elevación,Spn
elevado,Spn
elevar,Spn
eliminar,Spn
ella,Spn
ello,Spn
elocuente,Spn
elogio,Spn
eludir,Spn
embajada,Spn
embajador,Spn
embarazada,Spn
embarazo,Spn
embarcar,Spn
embargo,Spn
