New_Index,Token,Language,Anglicism,Adapted,POS,NE,Lemma,Tag,Exist
,LONDRES.-,,,,INTJ,I,LONDRES.-,PROPN,right_only
,-sin,,,,ADP,O,-sin,ADP__AdpType=Prep,right_only
,Internet-,,,,INTJ,B,Internet-,PROPN,right_only
,-según,,,,ADP,O,-según,ADP__AdpType=Prep,right_only
,oficiales-,,,,ADP,O,oficiales-,ADP__AdpType=Prep,right_only
,"ARTICLE0013,""Populismo",,,,INTJ,B,"ARTICLE0013,""Populismo",NOUN,right_only
,"año"",""El",,,,INTJ,O,"año"",""El",PROPN,right_only
,"sorpaso"",""abstenciocracia",,,,INTJ,O,"sorpaso"",""abstenciocracia",PROPN,right_only
,"ARTICLE0024,""Selfie",,,,INTJ,O,"ARTICLE0024,""Selfie",PROPN,right_only
,-pocos,,,,ADJ,O,-pocos,ADJ__Number=Sing,right_only
,inglesa-,,,,ADJ,O,inglesa-,ADJ,right_only
,"ARTICLE0041,Perros",,,,ADJ,O,"ARTICLE0041,Perros",ADJ__Gender=Masc|Number=Plur,right_only
,"laboral,""La",,,,INTJ,O,"laboral,""La",PROPN,right_only
,Dell'Arciprette,,,,INTJ,I,Dell'Arciprette,PROPN,right_only
,-dice,,,,VERB,O,-dice,VERB__Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,right_only
,Medellin-,,,,INTJ,B,Medellin-,PROPN,right_only
,"ARTICLE0057,La",,,,INTJ,O,"ARTICLE0057,La",PROPN,right_only
,"sushi,""Carolina",,,,INTJ,O,"sushi,""Carolina",PROPN,right_only
,"ARTICLE0058,Borrador",,,,ADJ,O,"ARTICLE0058,Borrador",ADJ__Gender=Masc|Number=Sing,right_only
,"vida,""En",,,,INTJ,O,"vida,""En",PROPN,right_only
,O'Hagan,,,,INTJ,I,O'Hagan,PROPN,right_only
,Sang-,,,,INTJ,I,Sang-,PROPN,right_only
,-The,,,,PUNCT,O,-The,PUNCT__PunctType=Dash,right_only
,Times-,,,,INTJ,I,Times-,PROPN,right_only
,-asesinato,,,,INTJ,O,-asesinato,PROPN,right_only
,colateral-,,,,DET,O,colateral-,DET__Definite=Def|Gender=Fem|Number=Sing|PronType=Art,right_only
,"ARTICLE0069,Alivio",,,,NOUN,O,"ARTICLE0069,Alivio",NOUN__Gender=Masc|Number=Sing,right_only
,"shopping,""Un",,,,INTJ,O,"shopping,""Un",PROPN,right_only
,YORK.-,,,,ADP,I,YORK.-,ADP__AdpType=Prep,right_only
,65%,,,,SYM,I,65%,SYM__NumForm=Digit|NumType=Frac,right_only
,"ARTICLE0075,""Jimmy",,,,INTJ,B,"ARTICLE0075,""Jimmy",PROPN,right_only
,"Wikipedia"",""Creo",,,,INTJ,O,"Wikipedia"",""Creo",PROPN,right_only
,Larrysanger.org,,,,INTJ,B,Larrysanger.org,PROPN,right_only
,Wales?,,,,INTJ,O,Wales?,PROPN,right_only
,entonces?,,,,INTJ,O,entonces?,PROPN,right_only
,Educ.ar,,,,INTJ,B,Educ.ar,PROPN,right_only
,Educ.ar,,,,INTJ,B,Educ.ar,PROPN,right_only
,10%,,,,SYM,O,10%,SYM__NumForm=Digit,right_only
,25%,,,,SYM,O,25%,SYM__NumForm=Digit|NumType=Frac,right_only
,"12,8%",,,,SYM,O,"12,8%",SYM__NumForm=Digit|NumType=Frac,right_only
